Feature,Importance
V14,0.17032868241044888
V10,0.10699322803195385
V4,0.10654485223605824
V12,0.10286713736925486
V17,0.09046016076622419
V11,0.06250755932772328
V16,0.06248728898232382
V3,0.051324732676795
V2,0.030630832339077152
V7,0.025874250135770542
V21,0.019859217877879004
V9,0.01760310381761883
V19,0.0134890309073545
V20,0.0131075777608759
V8,0.011538718199859034
V18,0.011486181953544188
V27,0.011441782905730852
Amount,0.011072227402184621
V5,0.00873250483534354
V1,0.008589059539506371
V15,0.008112104885410035
V13,0.00770724112129147
V28,0.007635380196350046
V23,0.006985103231278275
V26,0.006787436283587468
V6,0.0057877925381874746
V22,0.005536536316113074
V25,0.0052707808947798545
Time,0.005262205449314533
V24,0.0039772896081612065
